,College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,,Projected_Demand,Current_Demand,Future_Demand
115,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,50,Online,58.0392,1160.784,1218.8232
116,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,24,South,58.0392,1160.784,1218.8232
117,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,No Major Selected CAST,2020,20,Online,4.349977,51.1762,55.526177
118,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,No Major Selected CAST,2020,2,South,4.349977,51.1762,55.526177
119,College of Education,College of Education,Undergraduate,Pre-Education,2020,10,Main,13.264012,156.0472,169.311212
120,College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Counselor Education and Supervision,2020,6,Main,15.476477,182.0762,197.552677
121,College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in School Psychology,2020,32,Main,4.050288,36.8208,40.871088
122,College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Special Education,2020,13,Main,4.050288,36.8208,40.871088
123,College of Education,Disability Psychoeduc Studies,Graduate,Applied Behavior Analysis,2020,6,Online,1.995246,18.1386,20.133846
124,College of Education,Disability Psychoeduc Studies,Graduate,Behavior Support Specialist,2020,2,Online,1.995246,18.1386,20.133846
125,College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,51,Distance,4.050288,36.8208,40.871088
126,College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,15,Main,4.050288,36.8208,40.871088
127,College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Counseling,2020,97,Main,13.719618,124.7238,138.443418
128,College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,32,Main,-1.338624,66.9312,65.592576
129,College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,90,Online,-1.338624,66.9312,65.592576
130,College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Deaf Studies,2020,32,Main,0.001139136,0.0134016,0.014540736
131,College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Mild Moderate Disabilities,2020,39,Main,1.3104375,52.4175,53.7279375
132,College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Rehabilitation Studies and Services,2020,55,Main,3.63426,42.756,46.39026
133,College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Special Education and Rehabilitation,2020,38,Main,1.3104375,52.4175,53.7279375
134,College of Education,Disability Psychoeduc Studies,Undergraduate,American Sign Lang High School,2020,52,Community,18.0488,360.976,379.0248
135,College of Education,Disability Psychoeduc Studies,Undergraduate,Pre-Deaf Studies,2020,30,Main,0.001139136,0.0134016,0.014540736
136,College of Education,Disability Psychoeduc Studies,Undergraduate,Pre-Mild Moderate Disabilities,2020,36,Main,1.3104375,52.4175,53.7279375
137,College of Education,Educational Psychology,Graduate,Doctor of Philosophy in Educational Psychology,2020,23,Main,4.050288,36.8208,40.871088
138,College of Education,Educational Psychology,Graduate,Educational Research Methodology,2020,3,Main,3.96352,79.2704,83.23392
139,College of Education,Educational Psychology,Graduate,Master of Arts in Educational Psychology,2020,16,Main,4.050288,36.8208,40.871088
140,College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Education in Educational Leadership,2020,13,Main,15.5556375,183.0075,198.5631375
141,College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Educational Leadership and Policy,2020,45,Main,15.476477,182.0762,197.552677
142,College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Higher Education,2020,93,Main,4.349977,51.1762,55.526177
143,College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Education Policy,2020,6,Main,3.3098575,38.9395,42.2493575
144,College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Higher Education,2020,30,Main,4.349977,51.1762,55.526177
145,College of Education,Educatnl Policy Studies Pract,Graduate,Master of Education in Educational Leadership,2020,31,Main,15.476477,182.0762,197.552677
146,College of Education,Teachg Learning Sociocult Stds,Graduate,"Doctor of Philosophy in Language, Reading and Culture",2020,69,Main,1.839808,21.6448,23.484608
147,College of Education,Teachg Learning Sociocult Stds,Graduate,Doctor of Philosophy in Teaching and Teacher Education,2020,30,Main,15.5556375,183.0075,198.5631375
148,College of Education,Teachg Learning Sociocult Stds,Graduate,"Educational Specialist in Language, Reading and Culture",2020,1,Main,0.3713395,4.3687,4.7400395
149,College of Education,Teachg Learning Sociocult Stds,Graduate,"Master of Arts in Language, Reading and Culture",2020,17,Main,1.839808,21.6448,23.484608
150,College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Arts in Teaching and Teacher Education,2020,30,Main,15.5556375,183.0075,198.5631375
151,College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Education in Teaching and Teacher Education,2020,38,Distance,15.5556375,183.0075,198.5631375
152,College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Early Childhood Education,2020,47,Main,13.264012,156.0472,169.311212
153,College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,10,Distance,20.875455,835.0182,855.893655
154,College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,226,Main,20.875455,835.0182,855.893655
155,College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,206,Main,15.5556375,183.0075,198.5631375
156,College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,32,Online,15.5556375,183.0075,198.5631375
157,College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,2,Main,15.5556375,183.0075,198.5631375
158,College of Education,Teachg Learning Sociocult Stds,Undergraduate,Pre-Early Childhood Education,2020,68,Main,13.264012,156.0472,169.311212
159,College of Education,Teachg Learning Sociocult Stds,Undergraduate,Pre-Elementary Education,2020,205,Main,13.264012,156.0472,169.311212
160,College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Aerospace Engineering,2020,38,Main,0.368555,7.3711,7.739655
161,College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Mechanical Engineering,2020,37,Main,13.673405,273.4681,287.141505
162,College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Aerospace Engineering,2020,19,Main,0.368555,7.3711,7.739655
