College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Education in Teaching and Teacher Education,2020,38,Distance
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,10,Distance
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Counselor Education and Supervision,2020,6,Main
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in School Psychology,2020,32,Main
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Special Education,2020,13,Main
College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,15,Main
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Counseling,2020,97,Main
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,32,Main
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Deaf Studies,2020,62,Main
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Mild Moderate Disabilities,2020,75,Main
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Rehabilitation Studies and Services,2020,55,Main
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Special Education and Rehabilitation,2020,38,Main
College of Education,Educational Psychology,Graduate,Doctor of Philosophy in Educational Psychology,2020,23,Main
College of Education,Educational Psychology,Graduate,Educational Research Methodology,2020,3,Main
College of Education,Educational Psychology,Graduate,Master of Arts in Educational Psychology,2020,16,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Education in Educational Leadership,2020,13,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Educational Leadership and Policy,2020,45,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Higher Education,2020,93,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Education Policy,2020,6,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Higher Education,2020,30,Main
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Education in Educational Leadership,2020,31,Main
College of Education,Teachg Learning Sociocult Stds,Graduate,"Doctor of Philosophy in Language, Reading and Culture",2020,69,Main
College of Education,Teachg Learning Sociocult Stds,Graduate,Doctor of Philosophy in Teaching and Teacher Education,2020,30,Main
College of Education,Teachg Learning Sociocult Stds,Graduate,"Educational Specialist in Language, Reading and Culture",2020,1,Main
College of Education,Teachg Learning Sociocult Stds,Graduate,"Master of Arts in Language, Reading and Culture",2020,17,Main
College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Arts in Teaching and Teacher Education,2020,30,Main
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Early Childhood Education,2020,115,Main
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,431,Main
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,206,Main
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,2,Main
College of Education,Disability Psychoeduc Studies,Graduate,Applied Behavior Analysis,2020,6,Online
College of Education,Disability Psychoeduc Studies,Graduate,Behavior Support Specialist,2020,2,Online
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,90,Online
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,32,Online
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,65,Distance
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,7,Distance
College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,1,Distance
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,26,Distance
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,3,Distance
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,1,Distance
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,112,Distance
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,38,Distance
College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Aerospace Engineering,2020,38,Main
College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Mechanical Engineering,2020,37,Main
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Aerospace Engineering,2020,19,Main
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,29,Main
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Aerospace Engineering,2020,171,Main
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,432,Main
College of Engineering,Biomedical Engineering,Graduate,Doctor of Philosophy in Biomedical Engineering,2020,41,Main
College of Engineering,Biomedical Engineering,Graduate,Master of Science in Biomedical Engineering,2020,17,Main
College of Engineering,Biomedical Engineering,Undergraduate,Major in Biomedical Engineering,2020,174,Main
College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Chemical Engineering,2020,28,Main
College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Environmental Engineering,2020,20,Main
College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Chemical Engineering,2020,15,Main
College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Environmental Engineering,2020,8,Main
College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Chemical Engineering,2020,279,Main
College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Environmental Engineering,2020,20,Main
College of Engineering,Civil Arch Engr and Mechanics,Graduate,Doctor of Philosophy in Civil Engineering & Engineering Mechanics,2020,29,Main
College of Engineering,Civil Arch Engr and Mechanics,Graduate,Master of Science in Civil Engineering & Engineering Mechanics,2020,3,Main
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Architectural Engineering,2020,35,Main
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,127,Main
College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,32,Main
