College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Science,2020,7,Main,12.489435
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,49,Main,12.489435
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,5,Main,12.489435
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Sustainable Plant Systems,2020,3,Main,12.489435
College of Agric and Life Sci,Retailing & Consumer Sciences,Undergraduate,Major in Retailing and Consumer Science,2020,179,Main,265.6584
College of Agric and Life Sci,Retailing & Consumer Sciences,Undergraduate,Pre-Retailing & Consumer Science,2020,297,Main,265.6584
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Instructional Design and Technology,2020,7,Online,265.6584
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Education in Secondary Education,2020,28,South,35.213458
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Science in Educational Technology,2020,5,Online,47.5523125
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,66,Distance,65.592576
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,397,Online,65.592576
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,250,South,65.592576
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,1,Online,65.592576
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Commerce,2020,3,South,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,28,Distance,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,125,Online,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,41,South,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,1,South,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Elementary Education,2020,43,South,855.893655
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,Online,100.89198
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,South,100.89198
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,1,South,100.89198
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,3,Distance,488.67504
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,25,Online,488.67504
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,12,South,488.67504
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,1,Distance,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,25,Online,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,28,South,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,11,Distance,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,20,Main,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,50,Online,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,24,South,1218.8232
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,No Major Selected CAST,2020,20,Online,55.526177
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,No Major Selected CAST,2020,2,South,55.526177
College of Education,College of Education,Undergraduate,Pre-Education,2020,10,Main,169.311212
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Counselor Education and Supervision,2020,6,Main,197.552677
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in School Psychology,2020,32,Main,40.871088
College of Education,Disability Psychoeduc Studies,Graduate,Doctor of Philosophy in Special Education,2020,13,Main,40.871088
College of Education,Disability Psychoeduc Studies,Graduate,Applied Behavior Analysis,2020,6,Online,20.133846
College of Education,Disability Psychoeduc Studies,Graduate,Behavior Support Specialist,2020,2,Online,20.133846
College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,51,Distance,40.871088
College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,15,Main,40.871088
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Counseling,2020,97,Main,138.443418
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,32,Main,65.592576
